Strain_Host_Check_Dictionary,strain_host_use,HostCategory,Commonname,Species,Order-Family-Genus-Species,Taxonomic_Level,Isolate_Count_Sum
grus japonensis,grus japonensis,wildbird,Red-crowned crane,Grus japonensis,Gruiformes-Gruidae-Grus-Grus japonensis,Species,1
red crowned crane,red crowned crane,wildbird,Red-crowned crane,Grus japonensis,Gruiformes-Gruidae-Grus-Grus japonensis,Species,4
hooded crane,hooded crane,wildbird,Hooded crane,Grus monacha,Gruiformes-Gruidae-Grus-Grus monacha,Species,25
black neck crane,black necked crane,wildbird,Black-necked crane,Grus nigricollis,Gruiformes-Gruidae-Grus-Grus nigricollis,Species,1
black necked crane,black necked crane,wildbird,Black-necked crane,Grus nigricollis,Gruiformes-Gruidae-Grus-Grus nigricollis,Species,1
black throated crane,black necked crane,wildbird,Black-necked crane,Grus nigricollis,Gruiformes-Gruidae-Grus-Grus nigricollis,Species,1
bluecrane,blue crane,wildbird,Blue crane,Grus paradisea,Gruiformes-Gruidae-Grus-Grus paradisea,Species,1
anthropoides virgo,anthropoides virgo,wildbird,Demoiselle crane,Grus virgo,Gruiformes-Gruidae-Grus-Grus virgo,Species,2
guinea hen,guinea hen,wildbird,NA,NA,Galliformes-Numididae-NA-NA,Family,1
american coot,american coot,wildbird,American coot,Fulica americana,Gruiformes-Rallidae-Fulica-Fulica americana,Species,6
common coot,eurasian coot,wildbird,Common coot,Fulica atra,Gruiformes-Rallidae-Fulica-Fulica atra,Species,11
euraisan coot,euraisan coot,wildbird,Common coot,Fulica atra,Gruiformes-Rallidae-Fulica-Fulica atra,Species,1
eurasian coot,eurasian coot,wildbird,Common coot,Fulica atra,Gruiformes-Rallidae-Fulica-Fulica atra,Species,3
fulica atra,fulica atra,wildbird,Common coot,Fulica atra,Gruiformes-Rallidae-Fulica-Fulica atra,Species,4
red fronted coot,red fronted coot,wildbird,Red-fronted coot,Fulica rufifrons,Gruiformes-Rallidae-Fulica-Fulica rufifrons,Species,2
coot,coot,wildbird,NA,NA,Gruiformes-Rallidae-Fulica-NA,Genus,18
watercoot,watercoot,wildbird,NA,NA,Gruiformes-Rallidae-Fulica-NA,Genus,1
watercock,watercock,wildbird,Watercock,Gallicrex cinerea,Gruiformes-Rallidae-Gallicrex-Gallicrex cinerea,Species,3
common moorhen,common moorhen,wildbird,Common moorhen,Gallinula chloropus,Gruiformes-Rallidae-Gallinula-Gallinula chloropus,Species,1
gallinula chloropus,gallinula chloropus,wildbird,Common moorhen,Gallinula chloropus,Gruiformes-Rallidae-Gallinula-Gallinula chloropus,Species,2
moorhen,moorhen,wildbird,NA,NA,Gruiformes-Rallidae-Gallinula-NA,Genus,4
anas platyrhynchos et fulica atra,anas platyrhynchos et fulica atra,wildbird,NA,NA,NA,Class,1
anser brachyrhynchus anser anser,anser brachyrhynchus anser anser,wildbird,NA,NA,Anseriformes-Anatidae-Anser-NA,Genus,1
white bellied bustard,white bellied bustard,wildbird,White-bellied bustard,Eupodotis senegalensis,Otidiformes-Otididae-Eupodotis-Eupodotis senegalensis,Species,5
great bustard,great bustard,wildbird,Great bustard,Otis tarda,Otidiformes-Otididae-Otis-Otis tarda,Species,1
european reed warbler,european reed warbler,wildbird,Eurasian reed warbler,Acrocephalus scirpaceus,Passeriformes-Acrocephalidae-Acrocephalus-Acrocephalus scirpaceus,Species,1
aquatic bird,aquatic bird,wildbird,NA,NA,NA,Class,74
common iora,common iora,wildbird,Common iora,Aegithina tiphia,Passeriformes-Aegithinidae-Aegithina-Aegithina tiphia,Species,1
cedar waxwing,cedar waxwing,wildbird,Cedar waxwing,Bombycilla cedrorum,Passeriformes-Bombycillidae-Bombycilla-Bombycilla cedrorum,Species,1
western tanager,western tanager,wildbird,Western tanager,Piranga ludoviciana,Passeriformes-Cardinalidae-Piranga-Piranga ludoviciana,Species,4
bird,bird,wildbird,NA,NA,NA,Class,26
american crow,american crow,wildbird,American crow,Corvus brachyrhynchos,Passeriformes-Corvidae-Corvus-Corvus brachyrhynchos,Species,42
northwestern crow,northwestern crow,wildbird,Northwestern crow,Corvus caurinus,Passeriformes-Corvidae-Corvus-Corvus caurinus,Species,2
common raven,common raven,wildbird,Common raven,Corvus corax,Passeriformes-Corvidae-Corvus-Corvus corax,Species,2
rook,rook,wildbird,Rook,Corvus frugilegus,Passeriformes-Corvidae-Corvus-Corvus frugilegus,Species,8
large billed crow,large billed crow,wildbird,Large-billed crow,Corvus macrorhynchos,Passeriformes-Corvidae-Corvus-Corvus macrorhynchos,Species,39
corvus monedula,corvus monedula,wildbird,Western jackdaw,Corvus monedula,Passeriformes-Corvidae-Corvus-Corvus monedula,Species,2
western jackdaw,western jackdaw,wildbird,Western jackdaw,Corvus monedula,Passeriformes-Corvidae-Corvus-Corvus monedula,Species,3
corvus splendens,corvus splendens,wildbird,House crow,Corvus splendens,Passeriformes-Corvidae-Corvus-Corvus splendens,Species,1
house crow,house crow,wildbird,House crow,Corvus splendens,Passeriformes-Corvidae-Corvus-Corvus splendens,Species,7
blackbird,blackbird,wildbird,NA,NA,NA,Class,1
conure,conure,wildbird,NA,NA,Psittaciformes-Psittacidae-NA-NA,Family,2
ruddy duck,ruddy duck,wildbird,Ruddy duck,Oxyura jamaicensis,Anseriformes-Anatidae-Oxyura-Oxyura jamaicensis,Species,4
exotic bird,exotic bird,wildbird,NA,NA,NA,Class,1
glaucous gull herring gull hybrid,glaucous gull herring gull hybrid,wildbird,NA,NA,Charadriiformes-Laridae-NA-NA,Family,1
eurasian jay,eurasian jay,wildbird,Eurasian jay,Garrulus glandarius,Passeriformes-Corvidae-Garrulus-Garrulus glandarius,Species,1
garrulus glandarius,garrulus glandarius,wildbird,Eurasian jay,Garrulus glandarius,Passeriformes-Corvidae-Garrulus-Garrulus glandarius,Species,1
gr bk bd gull,gr bk bd gull,wildbird,NA,NA,Charadriiformes-Laridae-NA-NA,Family,1
white headed duck,white headed duck,wildbird,White-headed duck,Oxyura leucocephala,Anseriformes-Anatidae-Oxyura-Oxyura leucocephala,Species,1
black billed magpie,black-billed magpie,wildbird,Black-billed magpie,Pica hudsonia,Passeriformes-Corvidae-Pica-Pica hudsonia,Species,4
common magpie,eurasian magpie,wildbird,Eurasian magpie,Pica pica,Passeriformes-Corvidae-Pica-Pica pica,Species,6
eurasian magpie,eurasian magpie,wildbird,Eurasian magpie,Pica pica,Passeriformes-Corvidae-Pica-Pica pica,Species,2
pica pica,pica pica,wildbird,Eurasian magpie,Pica pica,Passeriformes-Corvidae-Pica-Pica pica,Species,2
comb duck,comb duck,wildbird,Comb duck,Sarkidiornis sylvicola,Anseriformes-Anatidae-Sarkidiornis-Sarkidiornis sylvicola,Species,1
chestnut munia,chestnut munia,wildbird,Chestnut munia,Lonchura atricapilla,Passeriformes-Estrildidae-Lonchura-Lonchura atricapilla,Species,1
scaly breasted munia,scaly breasted munia,wildbird,Scaly-breasted munia,Lonchura punctulata,Passeriformes-Estrildidae-Lonchura-Lonchura punctulata,Species,3
white backed munia,white backed munia,wildbird,White-rumped Munia,Lonchura striata,Passeriformes-Estrildidae-Lonchura-Lonchura striata,Species,4
rubby shelduck,rubby shelduck,wildbird,Ruddy shelduck,Tadorna ferruginea,Anseriformes-Anatidae-Tadorna-Tadorna ferruginea,Species,2
red cheeked cordonbleu,red cheeked cordonbleu,wildbird,Red-cheeked cordon-bleu,Uraeginthus bengalus,Passeriformes-Estrildidae-Uraeginthus-Uraeginthus bengalus,Species,2
brambling,brambling,wildbird,Brambling,Fringilla montifringilla,Passeriformes-Fringillidae-Fringilla-Fringilla montifringilla,Species,1
campylorhamphus pucherani,campylorhamphus pucherani,wildbird,Greater scythebill,Drymotoxeres pucheranii,Passeriformes-Furnariidae-Drymotoxeres-Drymotoxeres pucheranii,Species,1
barn swallow,barn swallow,wildbird,Barn swallow,Hirundo rustica,Passeriformes-Hirundinidae-Hirundo-Hirundo rustica,Species,2
barnswallow,barn swallow,wildbird,Barn swallow,Hirundo rustica,Passeriformes-Hirundinidae-Hirundo-Hirundo rustica,Species,1
migratory bird,migratory bird,wildbird,NA,NA,NA,Class,5
yellow breasted chat,yellow breasted chat,wildbird,Yellow-breasted chat,Icteria virens,Passeriformes-Icteridae-Icteria-Icteria virens,Species,1
great tailed grackle,great tailed grackle,wildbird,Great-tailed grackle,Quiscalus mexicanus,Passeriformes-Icteridae-Quiscalus-Quiscalus mexicanus,Species,3
ruddy shelduck,ruddy shelduck,wildbird,Ruddy shelduck,Tadorna ferruginea,Anseriformes-Anatidae-Tadorna-Tadorna ferruginea,Species,37
long tailed shrike,long tailed shrike,wildbird,Long-tailed shrike,Lanius schach,Passeriformes-Laniidae-Lanius-Lanius schach,Species,1
migratory waterfowl,migratory waterfowl,wildbird,NA,NA,NA,Class,2
chinese hwamei,chinese hwamei,wildbird,Chinese hwamei,Garrulax canorus,Passeriformes-Leiothrichidae-Garrulax-Garrulax canorus,Species,1
silver eared mesia,silver eared mesia,wildbird,Silver-eared mesia,Leiothrix argentauris,Passeriformes-Leiothrichidae-Leiothrix-Leiothrix argentauris,Species,2
pekin robin,pekin robin,wildbird,Red-billed leiothrix,Leiothrix lutea,Passeriformes-Leiothrichidae-Leiothrix-Leiothrix lutea,Species,1
green crombec,green crombec,wildbird,Green crombec,Sylvietta virens,Passeriformes-Macrosphenidae-Sylvietta-Sylvietta virens,Species,1
copsychus saularis,copsychus saularis,wildbird,Oriental magpie-robin,Copsychus saularis,Passeriformes-Muscicapidae-Copsychus-Copsychus saularis,Species,1
oriental magpie robin,oriental magpie robin,wildbird,Oriental magpie-robin,Copsychus saularis,Passeriformes-Muscicapidae-Copsychus-Copsychus saularis,Species,5
mixed wild birds,mixed wild birds,wildbird,NA,NA,NA,Class,1
luscinia cyane,luscinia cyane,wildbird,Siberian blue robin,Larvivora cyane,Passeriformes-Muscicapidae-Larvivora-Larvivora cyane,Species,1
nightingale,nightingale,wildbird,Common nightingale,Luscinia megarhynchos,Passeriformes-Muscicapidae-Luscinia-Luscinia megarhynchos,Species,1
isabelline wheatear,isabelline wheatear,wildbird,Isabelline wheatear,Oenanthe isabellina,Passeriformes-Muscicapidae-Oenanthe-Oenanthe isabellina,Species,1
african stonechat,african stonechat,wildbird,African stonechat,Saxicola torquatus,Passeriformes-Muscicapidae-Saxicola-Saxicola torquatus,Species,1
ornamental bird,ornamental bird,wildbird,NA,NA,NA,Class,1
seabird,seabird,wildbird,NA,NA,NA,Class,5
common shelduck,common shelduck,wildbird,Common shelduck,Tadorna tadorna,Anseriformes-Anatidae-Tadorna-Tadorna tadorna,Species,9
vulture,vulture,wildbird,NA,NA,NA,Class,12
eastern olive sunbird,eastern olive sunbird,wildbird,Olive sunbird,Cyanomitra olivacea,Passeriformes-Nectariniidae-Cyanomitra-Cyanomitra olivacea,Species,3
great tit,great tit,wildbird,Great tit,Parus major,Passeriformes-Paridae-Parus-Parus major,Species,1
macgillivrays warbler,macgillivrays warbler,wildbird,Macgillivray's warbler,Geothlypis tolmiei,Passeriformes-Parulidae-Geothlypis-Geothlypis tolmiei,Species,2
northern waterthrush,northern waterthrush,wildbird,helmeted guineafowl,Parkesia noveboracensis,Passeriformes-Parulidae-Parkesia-Parkesia noveboracensis,Species,1
audubons warbler,audubons warbler,wildbird,Audubon's warbler,Setophaga auduboni,Passeriformes-Parulidae-Setophaga-Setophaga auduboni,Species,1
oregon junco,oregon junco,wildbird,Dark-eyed junco,Junco hyemalis,Passeriformes-Passerellidae-Junco-Junco hyemalis,Species,2
song sparrow,song sparrow,wildbird,Song sparrow,Melospiza melodia,Passeriformes-Passerellidae-Melospiza-Melospiza melodia,Species,1
water fowl,water fowl,wildbird,NA,NA,NA,Class,1
house sparrow,house sparrow,wildbird,House sparrow,Passer domesticus,Passeriformes-Passeridae-Passer-Passer domesticus,Species,4
passer domesticus,passer domesticus,wildbird,House sparrow,Passer domesticus,Passeriformes-Passeridae-Passer-Passer domesticus,Species,3
grey headed sparrow,grey headed sparrow,wildbird,Northern grey-headed sparrow,Passer griseus,Passeriformes-Passeridae-Passer-Passer griseus,Species,1
tree sparrow,tree sparrow,wildbird,Eurasian tree sparrow,Passer montanus,Passeriformes-Passeridae-Passer-Passer montanus,Species,13
crested jay,crested jay,wildbird,Crested jay,Platylophus galericulatus,Passeriformes-Platylophidae-Platylophus-Platylophus galericulatus,Species,1
northern red bishop,northern red bishop,wildbird,Northern red bishop,Euplectes franciscanus,Passeriformes-Ploceidae-Euplectes-Euplectes franciscanus,Species,1
waterfowl,waterfowl,wildbird,NA,NA,NA,Class,19
village weaver,village weaver,wildbird,Village weaver,Ploceus cucullatus,Passeriformes-Ploceidae-Ploceus-Ploceus cucullatus,Species,2
black headed weaver,black headed weaver,wildbird,Black-headed weaver,Ploceus melanocephalus,Passeriformes-Ploceidae-Ploceus-Ploceus melanocephalus,Species,2
vieillot's weaver,vieillot's weaver,wildbird,Vieillot's black weaver,Ploceus nigerrimus,Passeriformes-Ploceidae-Ploceus-Ploceus nigerrimus,Species,2
speckle fronted weaver,speckle fronted weaver,wildbird,Speckle-fronted weaver,Sporopipes frontalis,Passeriformes-Ploceidae-Sporopipes-Sporopipes frontalis,Species,2
little greenbul,little greenbul,wildbird,Little greenbul,Eurillas virens,Passeriformes-Pycnonotidae-Eurillas-Eurillas virens,Species,1
black bulbul,black bulbul,wildbird,Black bulbul,Hypsipetes leucocephalus,Passeriformes-Pycnonotidae-Hypsipetes-Hypsipetes leucocephalus,Species,1
spotted greenbul,spotted greenbul,wildbird,Spotted greenbul,Ixonotus guttatus,Passeriformes-Pycnonotidae-Ixonotus-Ixonotus guttatus,Species,1
wild bird,wild bird,wildbird,NA,NA,NA,Class,198
golden crowned kinglet,golden crowned kinglet,wildbird,Golden-crowned kinglet,Regulus satrapa,Passeriformes-Regulidae-Regulus-Regulus satrapa,Species,1
green hylia,green hylia,wildbird,Green hylia,Hylia prasina,Passeriformes-Scotocercidae-Hylia-Hylia prasina,Species,1
crested myna,crested myna,wildbird,Crested myna,Acridotheres cristatellus,Passeriformes-Sturnidae-Acridotheres-Acridotheres cristatellus,Species,2
common myna,common myna,wildbird,Common myna,Acridotheres tristis,Passeriformes-Sturnidae-Acridotheres-Acridotheres tristis,Species,1
daurian starling,daurian starling,wildbird,Daurian starling,Agropsar sturninus,Passeriformes-Sturnidae-Agropsar-Agropsar sturninus,Species,1
wild birds,wild birds,wildbird,NA,NA,NA,Class,17
african starling,african starling,wildbird,Pied Starling,Lamprotornis bicolor,Passeriformes-Sturnidae-Lamprotornis-Lamprotornis bicolor,Species,2
australian shelduck,australian shelduck,wildbird,Australian shelduck,Tadorna tadornoides,Anseriformes-Anatidae-Tadorna-Tadorna tadornoides,Species,2
red billed starling,red billed starling,wildbird,Red-billed starling,Spodiopsar sericeus,Passeriformes-Sturnidae-Spodiopsar-Spodiopsar sericeus,Species,1
bewicks wren,bewicks wren,wildbird,Bewick's wren,Thryomanes bewickii,Passeriformes-Troglodytidae-Thryomanes-Thryomanes bewickii,Species,1
veery,veery,wildbird,Veery,Catharus fuscescens,Passeriformes-Turdidae-Catharus-Catharus fuscescens,Species,1
hermit thrush,hermit thrush,wildbird,Hermit thrush,Catharus guttatus,Passeriformes-Turdidae-Catharus-Catharus guttatus,Species,1
swainsons thrush,swainsons thrush,wildbird,Swainson‘s thrush,Catharus ustulatus,Passeriformes-Turdidae-Catharus-Catharus ustulatus,Species,6
american robin,american robin,wildbird,American robin,Turdus migratorius,Passeriformes-Turdidae-Turdus-Turdus migratorius,Species,3
song thrush,song thrush,wildbird,Song thrush,Turdus philomelos,Passeriformes-Turdidae-Turdus-Turdus philomelos,Species,1
golden mountain thrush,golden mountain thrush,wildbird,Scaly Thrush,Zoothera dauma,Passeriformes-Turdidae-Zoothera-Zoothera dauma,Species,1
scaly thrush,scaly thrush,wildbird,Scaly thrush,Zoothera dauma,Passeriformes-Turdidae-Zoothera-Zoothera dauma,Species,1
western wood pewee,western wood pewee,wildbird,Western wood-pewee,Contopus sordidulus,Passeriformes-Tyrannidae-Contopus-Contopus sordidulus,Species,1
alder flycatcher,alder flycatcher,wildbird,Alder flycatcher,Empidonax alnorum,Passeriformes-Tyrannidae-Empidonax-Empidonax alnorum,Species,1
pacific slope flycatcher,pacific slope flycatcher,wildbird,Pacific-slope flycatcher,Empidonax difficilis,Passeriformes-Tyrannidae-Empidonax-Empidonax difficilis,Species,1
japanese white eye,japanese white eye,wildbird,Japanese white-eye,Zosterops japonicus,Passeriformes-Zosteropidae-Zosterops-Zosterops japonicus,Species,3
great egret,great egret,wildbird,Great egret,Ardea alba,Pelecaniformes-Ardeidae-Ardea-Ardea alba,Species,18
ardea cinera,ardea cinerea,wildbird,Grey heron,Ardea cinerea,Pelecaniformes-Ardeidae-Ardea-Ardea cinerea,Species,1
ardea cinerea,ardea cinerea,wildbird,Grey heron,Ardea cinerea,Pelecaniformes-Ardeidae-Ardea-Ardea cinerea,Species,3
common heron,common heron,wildbird,Grey Heron,Ardea cinerea,Pelecaniformes-Ardeidae-Ardea-Ardea cinerea,Species,1
gray heron,gray heron,wildbird,Grey heron,Ardea cinerea,Pelecaniformes-Ardeidae-Ardea-Ardea cinerea,Species,9
grey heron,grey heron,wildbird,Grey heron,Ardea cinerea,Pelecaniformes-Ardeidae-Ardea-Ardea cinerea,Species,29
great blue heron,great blue heron,wildbird,Great blue heron,Ardea herodias,Pelecaniformes-Ardeidae-Ardea-Ardea herodias,Species,8
chinese pond heron,chinese pond heron,wildbird,Chinese pond heron,Ardeola bacchus,Pelecaniformes-Ardeidae-Ardeola-Ardeola bacchus,Species,2
wild migratory bird,wild migratory bird,wildbird,NA,NA,NA,Class,3
green heron,green heron,wildbird,Green heron,Butorides virescens,Pelecaniformes-Ardeidae-Butorides-Butorides virescens,Species,1
egretta garzetta,egretta garzetta,wildbird,Little egret,Egretta garzetta,Pelecaniformes-Ardeidae-Egretta-Egretta garzetta,Species,1
little egret,little egret,wildbird,Little egret,Egretta garzetta,Pelecaniformes-Ardeidae-Egretta-Egretta garzetta,Species,8
snowy egret,snowy egret,wildbird,Snowy egret,Egretta thula,Pelecaniformes-Ardeidae-Egretta-Egretta thula,Species,1
von schrenck's bittern,von schrenck's bittern,wildbird,Von schrenck's bittern,Ixobrychus eurhythmus,Pelecaniformes-Ardeidae-Ixobrychus-Ixobrychus eurhythmus,Species,1
wild waterfowl,wild waterfowl,wildbird,NA,NA,NA,Class,100
wildbird,wildbird,wildbird,NA,NA,NA,Class,7
black crowned night heron,black crowned night heron,wildbird,Black-crowned night heron,Nycticorax nycticorax,Pelecaniformes-Ardeidae-Nycticorax-Nycticorax nycticorax,Species,2
wildbirds guineafowl makou egyptian geese,wildbirds guineafowl makou egyptian geese,wildbird,NA,NA,NA,Class,3
wildfowl,wildfowl,wildbird,NA,NA,NA,Class,5
houbara,houbara,wildbird,NA,NA,Otidiformes-Otididae-Chlamydotis-NA,Genus,1
pelecanus conspicillatus,pelecanus conspicillatus,wildbird,Australian pelican,Pelecanus conspicillatus,Pelecaniformes-Pelecanidae-Pelecanus-Pelecanus conspicillatus,Species,1
dalmatian pelican,dalmatian pelican,wildbird,Dalmatian pelican,Pelecanus crispus,Pelecaniformes-Pelecanidae-Pelecanus-Pelecanus crispus,Species,6
pelecanus crispus,pelecanus crispus,wildbird,Dalmatian pelican,Pelecanus crispus,Pelecaniformes-Pelecanidae-Pelecanus-Pelecanus crispus,Species,1
american white pelican,american white pelican,wildbird,American white pelican,Pelecanus erythrorhynchos,Pelecaniformes-Pelecanidae-Pelecanus-Pelecanus erythrorhynchos,Species,7
brown pelican,brown pelican,wildbird,Brown pelican,Pelecanus occidentalis,Pelecaniformes-Pelecanidae-Pelecanus-Pelecanus occidentalis,Species,3
pelecanus occidentalis,pelecanus occidentalis,wildbird,Brown pelican,Pelecanus occidentalis,Pelecaniformes-Pelecanidae-Pelecanus-Pelecanus occidentalis,Species,16
great white pelican,great white pelican,wildbird,Great white pelican,Pelecanus onocrotalus,Pelecaniformes-Pelecanidae-Pelecanus-Pelecanus onocrotalus,Species,3
spot billed pelican,spot billed pelican,wildbird,Spot-billed pelican,Pelecanus philippensis,Pelecaniformes-Pelecanidae-Pelecanus-Pelecanus philippensis,Species,1
peruvian pelican,peruvian pelican,wildbird,Peruvian pelican,Pelecanus thagus,Pelecaniformes-Pelecanidae-Pelecanus-Pelecanus thagus,Species,2
scarlet ibis,scarlet ibis,wildbird,Scarlet ibis,Eudocimus ruber,Pelecaniformes-Threskiornithidae-Eudocimus-Eudocimus ruber,Species,1
houbara bustard,houbara bustard,wildbird,NA,NA,Otidiformes-Otididae-Chlamydotis-NA,Genus,1
guineafowl,guineafowl,wildbird,NA,NA,Galliformes-Numididae-NA-NA,Family,27
eurasian spoonbill,eurasian spoonbill,wildbird,Eurasian spoonbill,Platalea leucorodia,Pelecaniformes-Threskiornithidae-Platalea-Platalea leucorodia,Species,8
unidentified cisticola,unidentified cisticola,wildbird,NA,NA,Passeriformes-Cisticolidae-Cisticola-NA,Genus,1
lesser flamingo,lesser flamingo,wildbird,Lesser flamingo,Phoeniconaias minor,Phoenicopteriformes-Phoenicopteridae-Phoeniconaias-Phoeniconaias minor,Species,1
american raven,american raven,wildbird,NA,NA,Passeriformes-Corvidae-Corvus-NA,Genus,1
great barbet,great barbet,wildbird,Great barbet,Psilopogon virens,Piciformes-Megalaimidae-Psilopogon-Psilopogon virens,Species,1
brown eared woodpecker,brown eared woodpecker,wildbird,Brown-eared woodpecker,Campethera caroli,Piciformes-Picidae-Campether-Campethera caroli,Species,1
western grebe,western grebe,wildbird,Western grebe,Aechmophorus occidentalis,Podicipediformes-Podicipedidae-Aechmophorus-Aechmophorus occidentalis,Species,1
corvus corvus,corvus corvus,wildbird,NA,NA,Passeriformes-Corvidae-Corvus-NA,Genus,1
crow,crow,wildbird,NA,NA,Passeriformes-Corvidae-Corvus-NA,Genus,113
great crested grebe,great crested grebe,wildbird,Great crested grebe,Podiceps cristatus,Podicipediformes-Podicipedidae-Podiceps-Podiceps cristatus,Species,27
great drested grebe,great drested grebe,wildbird,Great crested grebe,Podiceps cristatus,Podicipediformes-Podicipedidae-Podiceps-Podiceps cristatus,Species,1
podiceps cristatus,podiceps cristatus,wildbird,Great crested grebe,Podiceps cristatus,Podicipediformes-Podicipedidae-Podiceps-Podiceps cristatus,Species,1
red necked grebe,red necked grebe,wildbird,Red-necked grebe,Podiceps grisegena,Podicipediformes-Podicipedidae-Podiceps-Podiceps grisegena,Species,6
black necked grebe,black necked grebe,wildbird,Black-necked grebe,Podiceps nigricollis,Podicipediformes-Podicipedidae-Podiceps-Podiceps nigricollis,Species,14
black nested grebe,black necked grebe,wildbird,Black-necked grebe,Podiceps nigricollis,Podicipediformes-Podicipedidae-Podiceps-Podiceps nigricollis,Species,1
eared grebe,eared grebe,wildbird,Black-necked grebe,Podiceps nigricollis,Podicipediformes-Podicipedidae-Podiceps-Podiceps nigricollis,Species,1
